2014.10.14,05:45,1232.75,1233.45,1232.31,1233.24,4203
2014.10.14,06:00,1233.28,1233.52,1232.68,1232.97,4627
2014.10.14,06:15,1232.98,1233.35,1232.80,1233.01,3221
2014.10.14,06:30,1233.02,1233.39,1232.36,1232.43,3512
2014.10.14,06:45,1232.43,1233.39,1232.27,1233.34,3341
2014.10.14,07:00,1233.35,1234.77,1232.91,1234.77,3782
2014.10.14,07:15,1234.72,1235.92,1234.07,1235.66,6630
2014.10.14,07:30,1235.67,1236.09,1234.39,1234.74,5323
2014.10.14,07:45,1234.73,1236.52,1234.58,1235.57,5129
2014.10.14,08:00,1235.59,1238.05,1235.35,1236.57,7074
2014.10.14,08:15,1236.56,1237.37,1234.10,1234.60,7756
2014.10.14,08:30,1234.60,1235.10,1232.62,1234.02,8128
2014.10.14,08:45,1234.07,1235.37,1233.48,1234.30,6623
2014.10.14,09:00,1234.28,1235.66,1233.82,1234.75,6504
2014.10.14,09:15,1234.76,1234.89,1231.73,1233.17,6550
2014.10.14,09:30,1233.13,1233.51,1231.39,1232.00,7406
2014.10.14,09:45,1232.02,1235.22,1231.95,1234.60,7948
2014.10.14,10:00,1234.64,1235.60,1233.46,1233.52,8746
2014.10.14,10:15,1233.52,1234.34,1233.45,1233.87,7792
2014.10.14,10:30,1233.88,1234.92,1233.78,1234.30,6773
2014.10.14,10:45,1234.33,1234.51,1232.96,1233.26,6434
2014.10.14,11:00,1233.23,1234.16,1230.83,1231.18,6998
2014.10.14,11:15,1231.19,1233.02,1231.16,1231.90,6471
2014.10.14,11:30,1231.92,1232.76,1231.20,1231.46,5687
2014.10.14,11:45,1231.44,1232.79,1231.24,1232.32,5509
2014.10.14,12:00,1232.33,1234.20,1232.31,1233.71,5075
2014.10.14,12:15,1233.71,1234.04,1233.17,1233.17,4376
2014.10.14,12:30,1233.14,1234.12,1233.08,1233.78,4659
2014.10.14,12:45,1233.79,1234.90,1233.34,1234.17,4877
2014.10.14,13:00,1234.17,1234.59,1232.93,1233.08,3928
2014.10.14,13:15,1233.09,1234.24,1232.89,1234.10,3853
2014.10.14,13:30,1234.11,1234.37,1233.07,1233.36,4329
2014.10.14,13:45,1233.38,1233.39,1232.72,1233.20,3937
2014.10.14,14:00,1233.19,1233.37,1232.71,1232.94,3653
2014.10.14,14:15,1232.94,1233.02,1232.61,1232.80,3431
2014.10.14,14:30,1232.82,1233.40,1232.54,1233.25,3432
